id,svg_file,png_file,shape_types
000001,svg/000001.svg,png/000001.png,circle
000002,svg/000002.svg,png/000002.png,circle
000003,svg/000003.svg,png/000003.png,bezier
000004,svg/000004.svg,png/000004.png,triangle
000005,svg/000005.svg,png/000005.png,polygon
000006,svg/000006.svg,png/000006.png,bezier
000007,svg/000007.svg,png/000007.png,rect
000008,svg/000008.svg,png/000008.png,triangle
000009,svg/000009.svg,png/000009.png,polygon
000010,svg/000010.svg,png/000010.png,circle
000011,svg/000011.svg,png/000011.png,bezier
000012,svg/000012.svg,png/000012.png,bezier
000013,svg/000013.svg,png/000013.png,triangle
000014,svg/000014.svg,png/000014.png,rect
000015,svg/000015.svg,png/000015.png,bezier
000016,svg/000016.svg,png/000016.png,circle
000017,svg/000017.svg,png/000017.png,rect
000018,svg/000018.svg,png/000018.png,bezier
000019,svg/000019.svg,png/000019.png,triangle
000020,svg/000020.svg,png/000020.png,rect
000021,svg/000021.svg,png/000021.png,circle
000022,svg/000022.svg,png/000022.png,polygon
000023,svg/000023.svg,png/000023.png,triangle
000024,svg/000024.svg,png/000024.png,bezier
000025,svg/000025.svg,png/000025.png,bezier
000026,svg/000026.svg,png/000026.png,rect
000027,svg/000027.svg,png/000027.png,circle
000028,svg/000028.svg,png/000028.png,rect
000029,svg/000029.svg,png/000029.png,polygon
000030,svg/000030.svg,png/000030.png,triangle
000031,svg/000031.svg,png/000031.png,bezier
000032,svg/000032.svg,png/000032.png,triangle
000033,svg/000033.svg,png/000033.png,triangle
000034,svg/000034.svg,png/000034.png,bezier
000035,svg/000035.svg,png/000035.png,rect
000036,svg/000036.svg,png/000036.png,rect
000037,svg/000037.svg,png/000037.png,triangle
000038,svg/000038.svg,png/000038.png,circle
000039,svg/000039.svg,png/000039.png,rect
000040,svg/000040.svg,png/000040.png,polygon
000041,svg/000041.svg,png/000041.png,circle
000042,svg/000042.svg,png/000042.png,circle
000043,svg/000043.svg,png/000043.png,polygon
000044,svg/000044.svg,png/000044.png,rect
000045,svg/000045.svg,png/000045.png,rect
000046,svg/000046.svg,png/000046.png,circle
000047,svg/000047.svg,png/000047.png,bezier
000048,svg/000048.svg,png/000048.png,bezier
000049,svg/000049.svg,png/000049.png,circle
000050,svg/000050.svg,png/000050.png,triangle
000051,svg/000051.svg,png/000051.png,rect
000052,svg/000052.svg,png/000052.png,bezier
000053,svg/000053.svg,png/000053.png,triangle
000054,svg/000054.svg,png/000054.png,rect
000055,svg/000055.svg,png/000055.png,circle
000056,svg/000056.svg,png/000056.png,rect
000057,svg/000057.svg,png/000057.png,bezier
000058,svg/000058.svg,png/000058.png,triangle
000059,svg/000059.svg,png/000059.png,triangle
000060,svg/000060.svg,png/000060.png,bezier
000061,svg/000061.svg,png/000061.png,triangle
000062,svg/000062.svg,png/000062.png,polygon
000063,svg/000063.svg,png/000063.png,polygon
000064,svg/000064.svg,png/000064.png,circle
000065,svg/000065.svg,png/000065.png,circle
000066,svg/000066.svg,png/000066.png,polygon
000067,svg/000067.svg,png/000067.png,circle
000068,svg/000068.svg,png/000068.png,rect
000069,svg/000069.svg,png/000069.png,triangle
000070,svg/000070.svg,png/000070.png,bezier
000071,svg/000071.svg,png/000071.png,circle
000072,svg/000072.svg,png/000072.png,bezier
000073,svg/000073.svg,png/000073.png,circle
000074,svg/000074.svg,png/000074.png,polygon
000075,svg/000075.svg,png/000075.png,polygon
000076,svg/000076.svg,png/000076.png,polygon
000077,svg/000077.svg,png/000077.png,circle
000078,svg/000078.svg,png/000078.png,rect
000079,svg/000079.svg,png/000079.png,bezier
000080,svg/000080.svg,png/000080.png,rect
000081,svg/000081.svg,png/000081.png,bezier
000082,svg/000082.svg,png/000082.png,bezier
000083,svg/000083.svg,png/000083.png,rect
000084,svg/000084.svg,png/000084.png,triangle
000085,svg/000085.svg,png/000085.png,rect
000086,svg/000086.svg,png/000086.png,circle
000087,svg/000087.svg,png/000087.png,circle
000088,svg/000088.svg,png/000088.png,rect
000089,svg/000089.svg,png/000089.png,bezier
000090,svg/000090.svg,png/000090.png,rect
000091,svg/000091.svg,png/000091.png,circle
000092,svg/000092.svg,png/000092.png,bezier
000093,svg/000093.svg,png/000093.png,circle
000094,svg/000094.svg,png/000094.png,bezier
000095,svg/000095.svg,png/000095.png,triangle
000096,svg/000096.svg,png/000096.png,rect
000097,svg/000097.svg,png/000097.png,rect
000098,svg/000098.svg,png/000098.png,triangle
000099,svg/000099.svg,png/000099.png,polygon
000100,svg/000100.svg,png/000100.png,bezier
000101,svg/000101.svg,png/000101.png,bezier
000102,svg/000102.svg,png/000102.png,rect
000103,svg/000103.svg,png/000103.png,circle
000104,svg/000104.svg,png/000104.png,triangle
000105,svg/000105.svg,png/000105.png,triangle
000106,svg/000106.svg,png/000106.png,rect
000107,svg/000107.svg,png/000107.png,bezier
000108,svg/000108.svg,png/000108.png,circle
000109,svg/000109.svg,png/000109.png,polygon
000110,svg/000110.svg,png/000110.png,rect
000111,svg/000111.svg,png/000111.png,bezier
000112,svg/000112.svg,png/000112.png,rect
000113,svg/000113.svg,png/000113.png,rect
000114,svg/000114.svg,png/000114.png,bezier
000115,svg/000115.svg,png/000115.png,circle
000116,svg/000116.svg,png/000116.png,polygon
000117,svg/000117.svg,png/000117.png,polygon
000118,svg/000118.svg,png/000118.png,polygon
000119,svg/000119.svg,png/000119.png,polygon
000120,svg/000120.svg,png/000120.png,rect
000121,svg/000121.svg,png/000121.png,rect
000122,svg/000122.svg,png/000122.png,bezier
000123,svg/000123.svg,png/000123.png,rect
000124,svg/000124.svg,png/000124.png,circle
000125,svg/000125.svg,png/000125.png,triangle
000126,svg/000126.svg,png/000126.png,rect
000127,svg/000127.svg,png/000127.png,rect
000128,svg/000128.svg,png/000128.png,polygon
000129,svg/000129.svg,png/000129.png,bezier
000130,svg/000130.svg,png/000130.png,rect
000131,svg/000131.svg,png/000131.png,bezier
000132,svg/000132.svg,png/000132.png,bezier
000133,svg/000133.svg,png/000133.png,circle
000134,svg/000134.svg,png/000134.png,bezier
000135,svg/000135.svg,png/000135.png,circle
000136,svg/000136.svg,png/000136.png,rect
000137,svg/000137.svg,png/000137.png,polygon
000138,svg/000138.svg,png/000138.png,rect
000139,svg/000139.svg,png/000139.png,polygon
000140,svg/000140.svg,png/000140.png,triangle
000141,svg/000141.svg,png/000141.png,triangle
000142,svg/000142.svg,png/000142.png,rect
000143,svg/000143.svg,png/000143.png,rect
000144,svg/000144.svg,png/000144.png,triangle
000145,svg/000145.svg,png/000145.png,rect
000146,svg/000146.svg,png/000146.png,triangle
000147,svg/000147.svg,png/000147.png,triangle
000148,svg/000148.svg,png/000148.png,polygon
000149,svg/000149.svg,png/000149.png,rect
000150,svg/000150.svg,png/000150.png,bezier
000151,svg/000151.svg,png/000151.png,polygon
000152,svg/000152.svg,png/000152.png,circle
000153,svg/000153.svg,png/000153.png,rect
000154,svg/000154.svg,png/000154.png,circle
000155,svg/000155.svg,png/000155.png,triangle
000156,svg/000156.svg,png/000156.png,circle
000157,svg/000157.svg,png/000157.png,bezier
000158,svg/000158.svg,png/000158.png,bezier
000159,svg/000159.svg,png/000159.png,triangle
000160,svg/000160.svg,png/000160.png,rect
000161,svg/000161.svg,png/000161.png,rect
000162,svg/000162.svg,png/000162.png,rect
000163,svg/000163.svg,png/000163.png,triangle
000164,svg/000164.svg,png/000164.png,polygon
000165,svg/000165.svg,png/000165.png,polygon
000166,svg/000166.svg,png/000166.png,bezier
000167,svg/000167.svg,png/000167.png,rect
000168,svg/000168.svg,png/000168.png,polygon
000169,svg/000169.svg,png/000169.png,circle
000170,svg/000170.svg,png/000170.png,bezier
000171,svg/000171.svg,png/000171.png,bezier
000172,svg/000172.svg,png/000172.png,rect
000173,svg/000173.svg,png/000173.png,bezier
